DATABASE,,,LearnAndDiscover,,,
Lesson.Monologue.glossary[9].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.8.elements.0.action.params.dialogs.9.text,,
Lesson.Monologue.glossary[9].picture,,,,presentation.slides.8.elements.0.action.params.dialogs.9.image.path,,
Lesson.Monologue.glossary[9].mp3,,,,presentation.slides.8.elements.0.action.params.dialogs.9.audio.path,,
Lesson.Conversation.can_do_statements[0].en[0],,Se debe retornar el texto entre el primer par de <li>,,presentation.slides.0.elements.8.action.params.text,,
Lesson.Conversation.context.mp4,,,,presentation.slides.9.elements.0.action.params.sources.0.path,,videos\/sources-5cd2f46b8c886.mp4
Lesson.Conversation.context.poster,,,,presentation.slides.9.elements.0.action.params.visuals.poster.path,,images/poster-5cdae0ae551bd.png
Lesson.Conversation.context.subtitles,,,,presentation.slides.9.elements.0.action.params.a11y.0.track.path,,files\/track-5cd2f4768a53e.vtt
Lesson.Conversation.glossary[0].term,,,,presentation.slides.10.elements.0.action.params.dialogs.0.answer,,
Lesson.Conversation.glossary[0].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.10.elements.0.action.params.dialogs.0.text,,
Lesson.Conversation.glossary[0].picture,,,,presentation.slides.10.elements.0.action.params.dialogs.0.image.path,,
Lesson.Conversation.glossary[0].mp3,,,,presentation.slides.10.elements.0.action.params.dialogs.0.audio.path,,
Lesson.Conversation.glossary[1].term,,,,presentation.slides.10.elements.0.action.params.dialogs.1.answer,,
Lesson.Conversation.glossary[1].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.10.elements.0.action.params.dialogs.1.text,,
Lesson.Conversation.glossary[1].picture,,,,presentation.slides.10.elements.0.action.params.dialogs.1.image.path,,
Lesson.Conversation.glossary[1].mp3,,,,presentation.slides.10.elements.0.action.params.dialogs.1.audio.path,,
Lesson.Conversation.glossary[2].term,,,,presentation.slides.10.elements.0.action.params.dialogs.2.answer,,
Lesson.Conversation.glossary[2].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.10.elements.0.action.params.dialogs.2.text,,
Lesson.Conversation.glossary[2].picture,,,,presentation.slides.10.elements.0.action.params.dialogs.2.image.path,,
Lesson.Conversation.glossary[2].mp3,,,,presentation.slides.10.elements.0.action.params.dialogs.2.audio.path,,
Lesson.Conversation.glossary[3].term,,,,presentation.slides.10.elements.0.action.params.dialogs.3.answer,,
Lesson.Conversation.glossary[3].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.10.elements.0.action.params.dialogs.3.text,,
Lesson.Conversation.glossary[3].picture,,,,presentation.slides.10.elements.0.action.params.dialogs.3.image.path,,
Lesson.Conversation.glossary[3].mp3,,,,presentation.slides.10.elements.0.action.params.dialogs.3.audio.path,,
Lesson.Conversation.glossary[4].term,,,,presentation.slides.10.elements.0.action.params.dialogs.4.answer,,
Lesson.Conversation.glossary[4].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.10.elements.0.action.params.dialogs.4.text,,
Lesson.Conversation.glossary[4].picture,,,,presentation.slides.10.elements.0.action.params.dialogs.4.image.path,,
Lesson.Conversation.glossary[4].mp3,,,,presentation.slides.10.elements.0.action.params.dialogs.4.audio.path,,
Lesson.Conversation.glossary[5].term,,,,presentation.slides.10.elements.0.action.params.dialogs.5.answer,,
Lesson.Conversation.glossary[5].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.10.elements.0.action.params.dialogs.5.text,,
Lesson.Conversation.glossary[5].picture,,,,presentation.slides.10.elements.0.action.params.dialogs.5.image.path,,
Lesson.Conversation.glossary[5].mp3,,,,presentation.slides.10.elements.0.action.params.dialogs.5.audio.path,,
Lesson.Conversation.glossary[6].term,,,,presentation.slides.10.elements.0.action.params.dialogs.6.answer,,
Lesson.Conversation.glossary[6].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.10.elements.0.action.params.dialogs.6.text,,
Lesson.Conversation.glossary[6].picture,,,,presentation.slides.10.elements.0.action.params.dialogs.6.image.path,,
Lesson.Conversation.glossary[6].mp3,,,,presentation.slides.10.elements.0.action.params.dialogs.6.audio.path,,
Lesson.Conversation.glossary[7].term,,,,presentation.slides.10.elements.0.action.params.dialogs.7.answer,,
Lesson.Conversation.glossary[7].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.10.elements.0.action.params.dialogs.7.text,,
Lesson.Conversation.glossary[7].picture,,,,presentation.slides.10.elements.0.action.params.dialogs.7.image.path,,
Lesson.Conversation.glossary[7].mp3,,,,presentation.slides.10.elements.0.action.params.dialogs.7.audio.path,,
Lesson.Conversation.glossary[8].term,,,,presentation.slides.10.elements.0.action.params.dialogs.8.answer,,
Lesson.Conversation.glossary[8].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.10.elements.0.action.params.dialogs.8.text,,
Lesson.Conversation.glossary[8].picture,,,,presentation.slides.10.elements.0.action.params.dialogs.8.image.path,,
Lesson.Conversation.glossary[8].mp3,,,,presentation.slides.10.elements.0.action.params.dialogs.8.audio.path,,
